Date,Open,High,Low,Close,Adj Close,Volume
2021-05-01,2772.838379,2951.440918,2755.908447,2945.892822,2945.892822,28726205272
2021-05-02,2945.560059,2984.891846,2860.526123,2952.056152,2952.056152,28032013047
2021-05-03,2951.175781,3450.037842,2951.175781,3431.086182,3431.086182,49174290212
2021-05-04,3431.131592,3523.585938,3180.742676,3253.629395,3253.629395,62402045158
2021-05-05,3240.554688,3541.462646,3213.101563,3522.783203,3522.783203,48334198383
2021-05-06,3524.930908,3598.895996,3386.239990,3490.880371,3490.880371,44300394788
2021-05-07,3490.105225,3573.290039,3370.261963,3484.729004,3484.729004,39607240515
2021-05-08,3481.988037,3950.165039,3453.768555,3902.647705,3902.647705,50208491286
2021-05-09,3911.463135,3981.259033,3743.989014,3928.844727,3928.844727,50568290278
2021-05-10,3924.413330,4197.473145,3684.451660,3952.293945,3952.293945,62691789007
2021-05-11,3948.271973,4178.208984,3783.889404,4168.701172,4168.701172,52679737865
2021-05-12,4174.635742,4362.350586,3785.848633,3785.848633,3785.848633,69023382175
2021-05-13,3828.918457,4032.563477,3549.407227,3715.148438,3715.148438,78398214539
2021-05-14,3720.122314,4171.017090,3703.399902,4079.057373,4079.057373,48174271215
2021-05-15,4075.951660,4129.185547,3638.122070,3638.122070,3638.122070,42422321751
2021-05-16,3641.830811,3878.895996,3350.951660,3587.506104,3587.506104,47359478734
2021-05-17,3581.343018,3587.765625,3129.008789,3282.397705,3282.397705,54061732774
2021-05-18,3276.872314,3562.465088,3246.404053,3380.070068,3380.070068,40416525218
2021-05-19,3382.657227,3437.935791,1952.460205,2460.679199,2460.679199,84482912776
2021-05-20,2439.638672,2993.145264,2170.229004,2784.294189,2784.294189,67610826680
2021-05-21,2772.341309,2938.205078,2113.347168,2430.621338,2430.621338,53774070802
2021-05-22,2436.014648,2483.983154,2168.124268,2295.705566,2295.705566,42089937660
2021-05-23,2298.367188,2384.411621,1737.468750,2109.579834,2109.579834,56005721977
2021-05-24,2099.936035,2672.595703,2090.639648,2643.591064,2643.591064,53697121740
2021-05-25,2649.033203,2750.534912,2394.355469,2706.628906,2706.628906,49558333256
2021-05-26,2707.052734,2911.735596,2652.094482,2888.698730,2888.698730,42499766020
2021-05-27,2888.752441,2888.752441,2642.607910,2736.488525,2736.488525,33373635283
2021-05-28,2742.468994,2761.363281,2336.361328,2419.906250,2419.906250,39999114805
2021-05-29,2414.067139,2566.938477,2208.490967,2279.514160,2279.514160,33773720220
2021-05-30,2278.288818,2472.187744,2188.834473,2390.305420,2390.305420,25876619428
2021-05-31,2387.198486,2715.854980,2279.505127,2714.945313,2714.945313,31007383150
